Lenguaje,Desarrollo Web (%),Data Science (%),Machine Learning (%),Automatizaci¢n (%),Aplicaciones M¢viles (%),Videojuegos (%)
Python,25%,40%,45%,50%,10%,90%
Java,35%,10%,20%,30%,20%,10%
C#,20%,5%,10%,25%,40%,35%
C,5%,15%,10%,30%,5%,30%
Go,10%,10%,20%,25%,5%,5%
PHP,45%,5%,5%,5%,5%,5%
R,5%,40%,25%,5%,1%,1%
Kotlin,10%,5%,10%,10%,50%,10%
JavaScript,50%,5%,5%,5%,30%,5%
Ruby,40%,5%,5%,5%,10%,10%
Swift,5%,5%,10%,5%,50%,15%
TypeScript,30%,5%,5%,10%,20%,5%
Perl,15%,5%,5%,10%,5%,5%
Scala,10%,20%,25%,10%,5%,5%
Rust,5%,5%,10%,25%,5%,30%
SQL,5%,35%,10%,5%,5%,5%
Lua,5%,1%,1%,5%,5%,30%
Shell,10%,10%,10%,50%,5%,5%
MATLAB,5%,45%,20%,5%,5%,1%
VHDL,0%,1%,5%,80%,1%,1%
Elixir,5%,5%,5%,10%,5%,5%
Objective-C,5%,5%,5%,5%,30%,10%
Dart,5%,5%,5%,5%,40%,10%
Haskell,5%,5%,25%,10%,5%,1%
Julia,5%,40%,30%,5%,1%,1%
F#,10%,5%,10%,30%,5%,10%
Clojure,5%,10%,15%,5%,1%,1%
Tcl,5%,5%,5%,10%,5%,1%
Delphi,5%,5%,5%,5%,10%,20%
ActionScript,5%,1%,1%,5%,5%,15%
Objective-J,5%,1%,1%,5%,5%,1%
Forth,1%,1%,5%,20%,1%,1%
Hack,5%,5%,5%,5%,5%,1%
Groovy,10%,5%,10%,5%,5%,5%
Zig,1%,1%,5%,10%,1%,1%
Ceylon,1%,1%,5%,5%,1%,1%
Mercury,1%,1%,5%,10%,1%,1%
Vala,1%,1%,1%,5%,5%,1%
Nim,1%,1%,1%,10%,1%,5%
Crystal,1%,1%,1%,5%,1%,5%
Ada,1%,1%,5%,20%,1%,1%
Racket,1%,1%,5%,5%,1%,1%
Smalltalk,1%,1%,5%,10%,1%,5%
OCaml,1%,5%,10%,5%,1%,1%
Fantom,1%,1%,1%,10%,1%,1%
Erlang,5%,5%,5%,10%,5%,1%
Elixir,5%,5%,5%,10%,5%,5%
Lisp,1%,5%,5%,5%,1%,1%
